Count,Name,Foil,Card Number,Edition
1,"Vogar, Necropolis Tyrant",foil,3,Game Night: Free-for-All
1,Bloodsoaked Altar,,43,Game Night: Free-for-All
1,Bushmeat Poacher,,44,Game Night: Free-for-All
1,Demon of Loathing,,45,Game Night: Free-for-All
1,Demonic Embrace,,46,Game Night: Free-for-All
3,Doom Blade,,47,Game Night: Free-for-All
2,Doomed Dissenter,,48,Game Night: Free-for-All
1,Dusk Legion Zealot,,49,Game Night: Free-for-All
1,Fleshbag Marauder,,50,Game Night: Free-for-All
2,Gavony Unhallowed,,51,Game Night: Free-for-All
2,Gifted Aetherborn,,52,Game Night: Free-for-All
1,Gravewaker,,53,Game Night: Free-for-All
1,Liliana's Mastery,,54,Game Night: Free-for-All
2,Lord of the Accursed,,55,Game Night: Free-for-All
1,Maalfeld Twins,,56,Game Night: Free-for-All
2,Moan of the Unhallowed,,57,Game Night: Free-for-All
1,Priest of the Blood Rite,,58,Game Night: Free-for-All
1,Ravenous Chupacabra,,59,Game Night: Free-for-All
1,Reassembling Skeleton,,60,Game Night: Free-for-All
2,Sign in Blood,,61,Game Night: Free-for-All
1,Supernatural Stamina,,62,Game Night: Free-for-All
1,"Vilis, Broker of Blood",,63,Game Night: Free-for-All
2,Village Rites,,64,Game Night: Free-for-All
1,Vow of Torment,,65,Game Night: Free-for-All
1,Howling Golem,,117,Game Night: Free-for-All
9,Swamp,,128,Game Night: Free-for-All
9,Swamp,,129,Game Night: Free-for-All
8,Swamp,,130,Game Night: Free-for-All
2,Angel // Zombie,,1,Extras: Game Night: Free-for-All
1,Human Soldier // Zombie,,2,Extras: Game Night: Free-for-All
