Count,Name,Foil,Card Number,Edition
1,"Nogi, Draco-Zealot",foil,4,Game Night: Free-for-All
2,Abrade,,67,Game Night: Free-for-All
1,Ancient Hellkite,,68,Game Night: Free-for-All
2,Blaze,,69,Game Night: Free-for-All
1,Crucible of Fire,,70,Game Night: Free-for-All
1,Dragon Egg,,71,Game Night: Free-for-All
2,Dragon Hatchling,,72,Game Night: Free-for-All
1,Dragon Mage,,73,Game Night: Free-for-All
1,Dragon Tempest,,74,Game Night: Free-for-All
3,Dragonspeaker Shaman,,75,Game Night: Free-for-All
1,"Drakuseth, Maw of Flames",,76,Game Night: Free-for-All
1,Flameblast Dragon,,77,Game Night: Free-for-All
1,Flametongue Kavu,,78,Game Night: Free-for-All
2,Furnace Whelp,,79,Game Night: Free-for-All
1,Goblin Motivator,,80,Game Night: Free-for-All
3,Kargan Dragonrider,,81,Game Night: Free-for-All
1,Knollspine Dragon,,82,Game Night: Free-for-All
2,Lightning Bolt,,83,Game Night: Free-for-All
1,Mana Geyser,,84,Game Night: Free-for-All
2,Rapacious Dragon,,85,Game Night: Free-for-All
2,Seize the Spoils,,86,Game Night: Free-for-All
1,Shivan Dragon,,87,Game Night: Free-for-All
1,Vow of Lightning,,88,Game Night: Free-for-All
1,Howling Golem,,117,Game Night: Free-for-All
9,Mountain,,131,Game Night: Free-for-All
8,Mountain,,132,Game Night: Free-for-All
8,Mountain,,133,Game Night: Free-for-All
3,Zombie // Treasure,,7,Extras: Game Night: Free-for-All
