Count,Name,Foil,Card Number,Edition
1,"Maeve, Insidious Singer",foil,2,Game Night: Free-for-All
1,Angler Drake,,22,Game Night: Free-for-All
1,Angler Turtle,,23,Game Night: Free-for-All
3,Brineborn Cutthroat,,24,Game Night: Free-for-All
1,Counterspell,,25,Game Night: Free-for-All
1,Diluvian Primordial,,26,Game Night: Free-for-All
2,Fact or Fiction,,27,Game Night: Free-for-All
2,Fog Bank,,28,Game Night: Free-for-All
2,Illusory Ambusher,,29,Game Night: Free-for-All
2,Impulse,,30,Game Night: Free-for-All
1,Jeering Homunculus,,31,Game Night: Free-for-All
3,Murmuring Mystic,,32,Game Night: Free-for-All
1,Plea for Power,,33,Game Night: Free-for-All
1,Precognitive Perception,,34,Game Night: Free-for-All
1,Pull from Tomorrow,,35,Game Night: Free-for-All
1,Repulse,,36,Game Night: Free-for-All
2,Run Away Together,,37,Game Night: Free-for-All
2,Sea Gate Oracle,,38,Game Night: Free-for-All
1,Split Decision,,39,Game Night: Free-for-All
1,Supreme Will,,40,Game Night: Free-for-All
2,Talrand's Invocation,,41,Game Night: Free-for-All
1,Vow of Flight,,42,Game Night: Free-for-All
1,Bloodthirsty Blade,,114,Game Night: Free-for-All
1,Howling Golem,,117,Game Night: Free-for-All
9,Island,,125,Game Night: Free-for-All
8,Island,,126,Game Night: Free-for-All
8,Island,,127,Game Night: Free-for-All
1,Bird Illusion // Demon,,5,Extras: Game Night: Free-for-All
2,Bird Illusion // Elf Warrior,,6,Extras: Game Night: Free-for-All
