Count,Name,Foil,Card Number,Edition
1,Rot Hulk,,3,Game Night
1,Bone Splinters,,27,Game Night
2,Cruel Revival,,28,Game Night
1,Fleshbag Marauder,,29,Game Night
1,Gruesome Fate,,30,Game Night
1,Languish,,31,Game Night
1,Liliana's Mastery,,32,Game Night
2,Lord of the Accursed,,33,Game Night
2,Tattered Mummy,,34,Game Night
2,Thallid Soothsayer,,35,Game Night
2,Zulaport Cutthroat,,36,Game Night
2,Filigree Familiar,,52,Game Night
2,Blood Divination,,86,Core Set 2019
1,Death Baron,,90,Core Set 2019
2,Doomed Dissenter,,93,Core Set 2019
1,Gravedigger,,98,Core Set 2019
1,Graveyard Marshal,,99,Core Set 2019
2,Infectious Horror,,101,Core Set 2019
3,Murder,,110,Core Set 2019
1,Open the Graves,,112,Core Set 2019
2,Reassembling Skeleton,,116,Core Set 2019
2,Stitcher's Supplier,,121,Core Set 2019
7,Swamp,,269,Core Set 2019
6,Swamp,,270,Core Set 2019
6,Swamp,,63,Game Night
6,Swamp,,64,Game Night
