Count,Name,Foil,Card Number,Edition
1,"Isperia, Supreme Judge",foil,1,Ravnica Allegiance Guild Kit
1,Azorius Herald,,2,Ravnica Allegiance Guild Kit
1,Azorius Justiciar,,3,Ravnica Allegiance Guild Kit
1,Stoic Ephemera,,4,Ravnica Allegiance Guild Kit
1,Court Hussar,,5,Ravnica Allegiance Guild Kit
1,Hover Barrier,,6,Ravnica Allegiance Guild Kit
1,Archon of the Triumvirate,,7,Ravnica Allegiance Guild Kit
1,Azorius Charm,,8,Ravnica Allegiance Guild Kit
1,Azorius Guildmage,,9,Ravnica Allegiance Guild Kit
1,Detention Sphere,,10,Ravnica Allegiance Guild Kit
1,Dovescape,,11,Ravnica Allegiance Guild Kit
1,Dramatic Rescue,,12,Ravnica Allegiance Guild Kit
1,Isperia the Inscrutable,,13,Ravnica Allegiance Guild Kit
2,Judge's Familiar,,14,Ravnica Allegiance Guild Kit
1,Lavinia of the Tenth,,15,Ravnica Allegiance Guild Kit
1,Lyev Skyknight,,16,Ravnica Allegiance Guild Kit
1,Pride of the Clouds,,17,Ravnica Allegiance Guild Kit
1,Render Silent,,18,Ravnica Allegiance Guild Kit
1,Sky Hussar,,19,Ravnica Allegiance Guild Kit
1,Skymark Roc,,20,Ravnica Allegiance Guild Kit
1,Sphinx's Revelation,,21,Ravnica Allegiance Guild Kit
1,Windreaver,,22,Ravnica Allegiance Guild Kit
1,Azorius Keyrune,,23,Ravnica Allegiance Guild Kit
2,Azorius Signet,,24,Ravnica Allegiance Guild Kit
4,Azorius Chancery,,25,Ravnica Allegiance Guild Kit
1,Sky Tether,,21,Ravnica Allegiance
1,Spirit of the Spires,,23,Ravnica Allegiance
1,Summary Judgment,,24,Ravnica Allegiance
1,Unbreakable Formation,,29,Ravnica Allegiance
1,Sphinx of Foresight,,55,Ravnica Allegiance
1,Windstorm Drake,,60,Ravnica Allegiance
1,Sphinx of New Prahv,,208,Ravnica Allegiance
1,Sphinx's Insight,,209,Ravnica Allegiance
1,Depose // Deploy,,225,Ravnica Allegiance
1,Warrant // Warden,,230,Ravnica Allegiance
2,Azorius Guildgate,,243,Ravnica Allegiance
2,Azorius Guildgate,,244,Ravnica Allegiance
8,Plains,,26,Ravnica Allegiance Guild Kit
8,Island,,27,Ravnica Allegiance Guild Kit
4,Bird // Thopter,,1,Extras: Ravnica Allegiance Guild Kit
1,Bird // Sphinx,,2,Extras: Ravnica Allegiance Guild Kit
