Count,Name,Foil,Card Number,Edition
1,Wolfir Silverheart,foil,206,Avacyn Restored
1,Deadeye Navigator,,47,Avacyn Restored
2,Elgaud Shieldmate,,50,Avacyn Restored
2,Latch Seeker,,63,Avacyn Restored
1,Nephalia Smuggler,,69,Avacyn Restored
2,Tandem Lookout,,80,Avacyn Restored
2,Wingcrafter,,83,Avacyn Restored
2,Druid's Familiar,,175,Avacyn Restored
2,Flowering Lumberknot,,178,Avacyn Restored
1,Geist Trappers,,179,Avacyn Restored
2,Joint Assault,,183,Avacyn Restored
2,Lair Delve,,184,Avacyn Restored
2,Nightshade Peddler,,187,Avacyn Restored
1,Pathbreaker Wurm,,188,Avacyn Restored
3,Trusted Forcemage,,199,Avacyn Restored
2,Vorstclaw,,201,Avacyn Restored
1,Wolfir Avenger,,205,Avacyn Restored
1,Ice Cage,,57,Magic 2012
1,Acidic Slime,,161,Magic 2012
2,Llanowar Elves,,182,Magic 2012
1,Overrun,,186,Magic 2012
1,Runeclaw Bear,,193,Magic 2012
4,Island,,233,Avacyn Restored
4,Island,,234,Avacyn Restored
4,Island,,235,Avacyn Restored
5,Forest,,242,Avacyn Restored
4,Forest,,243,Avacyn Restored
4,Forest,,244,Avacyn Restored
