Count,Name,Foil,Card Number,Edition,Language,Textless
1,Hero of Goma Fada,foil,21,Intro Pack Alternate Art,English,
1,Angel of Renewal,,18,Battle for Zendikar,English,
1,Angelic Gift,,19,Battle for Zendikar,English,
3,Cliffside Lookout,,20,Battle for Zendikar,English,
2,Expedition Envoy,,24,Battle for Zendikar,English,
2,Inspired Charge,,32,Battle for Zendikar,English,
2,Kor Bladewhirl,,34,Battle for Zendikar,English,
2,Kor Castigator,,35,Battle for Zendikar,English,
2,Kor Entanglers,,36,Battle for Zendikar,English,
2,Lithomancer's Focus,,38,Battle for Zendikar,English,
2,Makindi Patrol,,39,Battle for Zendikar,English,
2,Smite the Monstrous,,49,Battle for Zendikar,English,
1,Chasm Guide,,143,Battle for Zendikar,English,
2,Firemantle Mage,,145,Battle for Zendikar,English,
1,Ondu Champion,,149,Battle for Zendikar,English,
2,Outnumber,,150,Battle for Zendikar,English,
3,Reckless Cohort,,152,Battle for Zendikar,English,
2,Shatterskull Recruit,,155,Battle for Zendikar,English,
1,Angelic Captain,,208,Battle for Zendikar,English,
1,Resolute Blademaster,,218,Battle for Zendikar,English,
1,Blighted Gorge,,231,Battle for Zendikar,English,
2,Evolving Wilds,,236,Battle for Zendikar,English,
2,Sandstone Bridge,,243,Battle for Zendikar,English,
2,Plains,,250,Battle for Zendikar,English,
2,Plains,,251,Battle for Zendikar,English,
2,Plains,,252,Battle for Zendikar,English,
2,Plains,,253,Battle for Zendikar,English,
2,Plains,,254,Battle for Zendikar,English,textless
2,Mountain,,265,Battle for Zendikar,English,
2,Mountain,,266,Battle for Zendikar,English,
2,Mountain,,267,Battle for Zendikar,English,
2,Mountain,,268,Battle for Zendikar,English,
2,Mountain,,269,Battle for Zendikar,English,textless
