Count,Name,Foil,Card Number,Edition
1,"Teysa, Envoy of Ghosts",foil,108,Dragon's Maze
1,Riot Control,,6,Dragon's Maze
2,Steeple Roc,,8,Dragon's Maze
3,Bane Alley Blackguard,,21,Dragon's Maze
1,Crypt Incursion,,23,Dragon's Maze
2,Fatal Fumes,,24,Dragon's Maze
2,Ubul Sar Gatekeepers,,30,Dragon's Maze
2,Maw of the Obzedat,,83,Dragon's Maze
2,Sin Collector,,103,Dragon's Maze
2,Tithe Drinker,,109,Dragon's Maze
1,Profit // Loss,,130,Dragon's Maze
2,Orzhov Cluestone,,142,Dragon's Maze
4,Orzhov Guildgate,,153,Dragon's Maze
1,Basilica Guards,,5,Gatecrash
2,Basilica Screecher,,58,Gatecrash
1,Crypt Ghast,,61,Gatecrash
1,Dying Wish,,64,Gatecrash
1,Smog Elemental,,79,Gatecrash
1,Kingpin's Pet,,173,Gatecrash
1,Gift of Orzhova,,219,Gatecrash
1,Bazaar Krovod,,7,Return to Ravnica
1,Assassin's Strike,,57,Return to Ravnica
2,Dark Revenant,,61,Return to Ravnica
2,Plains,,250,Return to Ravnica
2,Plains,,251,Return to Ravnica
2,Plains,,252,Return to Ravnica
3,Plains,,253,Return to Ravnica
2,Plains,,254,Return to Ravnica
3,Swamp,,260,Return to Ravnica
3,Swamp,,261,Return to Ravnica
2,Swamp,,262,Return to Ravnica
2,Swamp,,263,Return to Ravnica
2,Swamp,,264,Return to Ravnica
