Count,Name,Foil,Card Number,Edition
1,Vorel of the Hull Clade,foil,115,Dragon's Maze
1,Murmuring Phantasm,,15,Dragon's Maze
2,Opal Lake Gatekeepers,,16,Dragon's Maze
2,Runner's Bane,,17,Dragon's Maze
2,Battering Krasis,,41,Dragon's Maze
2,Mutant's Prey,,45,Dragon's Maze
1,Phytoburst,,46,Dragon's Maze
2,Beetleform Mage,,54,Dragon's Maze
2,Bred for the Hunt,,59,Dragon's Maze
1,Krasis Incubation,,79,Dragon's Maze
2,Species Gorger,,105,Dragon's Maze
1,Give // Take,,129,Dragon's Maze
2,Simic Cluestone,,145,Dragon's Maze
4,Simic Guildgate,,156,Dragon's Maze
2,Cloudfin Raptor,,32,Gatecrash
1,Sapphire Drake,,47,Gatecrash
1,Crocanura,,116,Gatecrash
1,Crowned Ceratok,,117,Gatecrash
1,Gyre Sage,,123,Gatecrash
1,Hindervines,,124,Gatecrash
2,Elusive Krasis,,160,Gatecrash
3,Centaur Courser,,164,Magic 2013
1,Archweaver,,114,Return to Ravnica
3,Island,,255,Return to Ravnica
3,Island,,256,Return to Ravnica
2,Island,,257,Return to Ravnica
2,Island,,258,Return to Ravnica
2,Island,,259,Return to Ravnica
2,Forest,,270,Return to Ravnica
2,Forest,,271,Return to Ravnica
2,Forest,,272,Return to Ravnica
2,Forest,,273,Return to Ravnica
2,Forest,,274,Return to Ravnica
