Count,Name,Foil,Card Number,Edition
1,Flayer of the Hatebound,foil,89,Dark Ascension
2,Fling,,90,Dark Ascension
3,Nearheath Stalker,,100,Dark Ascension
2,Pyreheart Wolf,,101,Dark Ascension
2,Russet Wolves,,102,Dark Ascension
2,Strangleroot Geist,,127,Dark Ascension
2,Wild Hunger,,132,Dark Ascension
3,Young Wolf,,134,Dark Ascension
1,Pitchburn Devils,,156,Innistrad
1,Rage Thrower,,157,Innistrad
2,Rolling Temblor,,161,Innistrad
2,Skirsdag Cultist,,163,Innistrad
1,Gutter Grime,,186,Innistrad
1,Lumberknot,,191,Innistrad
1,Naturalize,,197,Innistrad
2,Orchard Spirit,,198,Innistrad
2,Prey Upon,,200,Innistrad
2,Goblin Arsonist,,136,Magic 2012
1,Overrun,,186,Magic 2012
2,Rampant Growth,,190,Magic 2012
1,Greatsword,,209,Magic 2012
4,Mountain,,259,Innistrad
4,Mountain,,260,Innistrad
3,Mountain,,261,Innistrad
5,Forest,,262,Innistrad
4,Forest,,263,Innistrad
4,Forest,,264,Innistrad
