Count,Name,Foil,Card Number,Edition
1,Consuming Aberration,foil,152,Gatecrash
1,Incursion Specialist,,38,Gatecrash
1,Last Thoughts,,40,Gatecrash
1,Mindeye Drake,,43,Gatecrash
1,Sage's Row Denizen,,46,Gatecrash
1,Totally Lost,,54,Gatecrash
2,Balustrade Spy,,57,Gatecrash
2,Death's Approach,,62,Gatecrash
2,Grisly Spectacle,,66,Gatecrash
3,Gutter Skulk,,67,Gatecrash
1,Midnight Recovery,,73,Gatecrash
1,Shadow Slice,,77,Gatecrash
2,Wight of Precinct Six,,84,Gatecrash
2,Dinrova Horror,,155,Gatecrash
1,Duskmantle Guildmage,,158,Gatecrash
1,Mortus Strider,,179,Gatecrash
1,Paranoid Delusions,,186,Gatecrash
1,Whispering Madness,,207,Gatecrash
1,Coerced Confession,,217,Gatecrash
2,Deathcult Rogue,,218,Gatecrash
2,Dimir Keyrune,,228,Gatecrash
1,Dimir Guildgate,,241,Gatecrash
1,Jace's Phantasm,,57,Magic 2013
1,Vedalken Entrancer,,76,Magic 2013
1,Welkin Tern,,79,Magic 2013
1,Rise from the Grave,,107,Magic 2013
2,Island,,255,Return to Ravnica
2,Island,,256,Return to Ravnica
2,Island,,257,Return to Ravnica
3,Island,,258,Return to Ravnica
3,Island,,259,Return to Ravnica
2,Swamp,,260,Return to Ravnica
2,Swamp,,261,Return to Ravnica
3,Swamp,,262,Return to Ravnica
3,Swamp,,263,Return to Ravnica
3,Swamp,,264,Return to Ravnica
