Count,Name,Foil,Card Number,Edition
1,Rubblehulk,foil,191,Gatecrash
1,Foundry Street Denizen,,92,Gatecrash
1,Ripscale Predator,,103,Gatecrash
1,Skinbrand Goblin,,105,Gatecrash
2,Viashino Shanktail,,110,Gatecrash
1,Alpha Authority,,114,Gatecrash
2,Disciple of the Old Ways,,118,Gatecrash
1,Predator's Rapport,,129,Gatecrash
1,Scab-Clan Charger,,131,Gatecrash
1,Slaughterhorn,,134,Gatecrash
1,Verdant Haven,,138,Gatecrash
1,Ghor-Clan Rampager,,167,Gatecrash
2,Ground Assault,,168,Gatecrash
1,Gruul Ragebeast,,170,Gatecrash
2,Ruination Wurm,,192,Gatecrash
1,Skarrg Guildmage,,196,Gatecrash
2,Zhur-Taa Swine,,210,Gatecrash
1,Pit Fight,,223,Gatecrash
2,Gruul Keyrune,,230,Gatecrash
1,Gruul Guildgate,,243,Gatecrash
2,Fire Elemental,,130,Magic 2013
1,Volcanic Geyser,,154,Magic 2013
1,Arbor Elf,,160,Magic 2013
2,Centaur Courser,,164,Magic 2013
1,Duskdale Wurm,,166,Magic 2013
1,Primal Huntbeast,,182,Magic 2013
1,Ranger's Path,,186,Magic 2013
2,Mountain,,265,Return to Ravnica
2,Mountain,,266,Return to Ravnica
2,Mountain,,267,Return to Ravnica
3,Mountain,,268,Return to Ravnica
3,Mountain,,269,Return to Ravnica
2,Forest,,270,Return to Ravnica
2,Forest,,271,Return to Ravnica
3,Forest,,272,Return to Ravnica
3,Forest,,273,Return to Ravnica
3,Forest,,274,Return to Ravnica
