Count,Name,Foil,Card Number,Edition
1,Treasury Thrull,foil,201,Gatecrash
2,Angelic Edict,,2,Gatecrash
2,Basilica Guards,,5,Gatecrash
1,Knight of Obligation,,18,Gatecrash
3,Basilica Screecher,,58,Gatecrash
2,Dying Wish,,64,Gatecrash
1,Shadow Alley Denizen,,76,Gatecrash
1,Smog Elemental,,79,Gatecrash
2,Syndicate Enforcer,,80,Gatecrash
1,Executioner's Swing,,161,Gatecrash
1,High Priest of Penance,,171,Gatecrash
2,Kingpin's Pet,,173,Gatecrash
1,One Thousand Lashes,,183,Gatecrash
1,Purge the Profane,,190,Gatecrash
1,Vizkopa Guildmage,,206,Gatecrash
1,Gift of Orzhova,,219,Gatecrash
2,Orzhov Keyrune,,233,Gatecrash
1,Orzhov Guildgate,,244,Gatecrash
1,Guardian Lions,,17,Magic 2013
1,Rain of Blades,,28,Magic 2013
2,Silvercoat Lion,,35,Magic 2013
1,Blood Reckoning,,81,Magic 2013
1,Murder,,101,Magic 2013
1,Tormented Soul,,111,Magic 2013
1,Zombie Goliath,,119,Magic 2013
1,Jayemdae Tome,,207,Magic 2013
2,Plains,,250,Return to Ravnica
2,Plains,,251,Return to Ravnica
2,Plains,,252,Return to Ravnica
3,Plains,,253,Return to Ravnica
3,Plains,,254,Return to Ravnica
3,Swamp,,260,Return to Ravnica
3,Swamp,,261,Return to Ravnica
3,Swamp,,262,Return to Ravnica
2,Swamp,,263,Return to Ravnica
2,Swamp,,264,Return to Ravnica
