Count,Name,Foil,Card Number,Edition
1,Sphinx of Uthuun,foil,76,Magic 2012
1,Arbalest Elite,,5,Magic 2012
2,Benalish Veteran,,10,Magic 2012
2,Oblivion Ring,,27,Magic 2012
1,Serra Angel,,33,Magic 2012
1,Siege Mastodon,,34,Magic 2012
2,Stormfront Pegasus,,38,Magic 2012
1,Aether Adept,,41,Magic 2012
2,Aven Fleetwing,,44,Magic 2012
2,Cancel,,47,Magic 2012
3,Coral Merfolk,,49,Magic 2012
1,Levitation,,61,Magic 2012
1,Lord of the Unreal,,62,Magic 2012
1,Mind Control,,67,Magic 2012
1,Negate,,69,Magic 2012
3,Phantasmal Bear,,70,Magic 2012
2,Phantasmal Dragon,,71,Magic 2012
3,Skywinder Drake,,75,Magic 2012
2,Unsummon,,79,Magic 2012
2,Elixir of Immortality,,208,Magic 2012
2,Rusted Sentinel,,215,Magic 2012
3,Plains,,230,Magic 2012
3,Plains,,231,Magic 2012
2,Plains,,232,Magic 2012
2,Plains,,233,Magic 2012
4,Island,,234,Magic 2012
4,Island,,235,Magic 2012
3,Island,,236,Magic 2012
3,Island,,237,Magic 2012
