Count,Name,Foil,Card Number,Edition
1,"Nefarox, Overlord of Grixis",foil,103,Magic 2013
1,Angelic Benediction,,4,Magic 2013
2,Aven Squire,,6,Magic 2013
1,Guardians of Akrasa,,18,Magic 2013
1,Knight of Glory,,21,Magic 2013
2,Pacifism,,24,Magic 2013
1,Warclamp Mastiff,,40,Magic 2013
1,Blood Reckoning,,81,Magic 2013
2,Bloodhunter Bat,,82,Magic 2013
2,Cower in Fear,,84,Magic 2013
2,Duskmantle Prowler,,91,Magic 2013
2,Duty-Bound Dead,,92,Magic 2013
2,Knight of Infamy,,96,Magic 2013
1,Liliana's Shade,,98,Magic 2013
1,Mark of the Vampire,,99,Magic 2013
2,Murder,,101,Magic 2013
3,Servant of Nefarox,,108,Magic 2013
2,Tormented Soul,,111,Magic 2013
1,Vampire Nighthawk,,112,Magic 2013
1,Veilborn Ghoul,,114,Magic 2013
2,Walking Corpse,,116,Magic 2013
1,Xathrid Gorgon,,118,Magic 2013
1,Zombie Goliath,,119,Magic 2013
1,Ring of Xathrid,,215,Magic 2013
1,Evolving Wilds,,224,Magic 2013
2,Plains,,230,Magic 2013
2,Plains,,231,Magic 2013
2,Plains,,232,Magic 2013
2,Plains,,233,Magic 2013
4,Swamp,,238,Magic 2013
4,Swamp,,239,Magic 2013
4,Swamp,,240,Magic 2013
3,Swamp,,241,Magic 2013
