Count,Name,Foil,Card Number,Edition
1,Above the Clouds,,1,Jumpstart Front Cards
1,Thriving Isle,,36,Jumpstart
1,"Kira, Great Glass-Spinner",,154,Jumpstart
1,Windstorm Drake,,195,Jumpstart
1,Capture Sphere,,47,Core Set 2021
1,Keen Glidemaster,,54,Core Set 2021
1,Lofty Denial,,56,Core Set 2021
1,Mistral Singer,,58,Core Set 2021
1,Rain of Revelation,,61,Core Set 2021
1,Roaming Ghostlight,,65,Core Set 2021
1,Rookie Mistake,,66,Core Set 2021
1,Tide Skimmer,,79,Core Set 2021
1,Unsubstantiate,,82,Core Set 2021
1,Wall of Runes,,85,Core Set 2021
2,Island,,263,Core Set 2021
2,Island,,264,Core Set 2021
2,Island,,265,Core Set 2021
1,Island,,48,Jumpstart
