Count,Name,Foil,Card Number,Edition
1,Archaeology,,3,Jumpstart Front Cards
2,Archaeomender,,9,Jumpstart
1,Lightning-Core Excavator,,32,Jumpstart
1,Thriving Isle,,36,Jumpstart
1,Sharding Sphinx,,176,Jumpstart
1,Thirst for Knowledge,,183,Jumpstart
1,Vedalken Archmage,,187,Jumpstart
1,Aether Spellbomb,,456,Jumpstart
1,Ancestral Statue,,458,Jumpstart
1,Hedron Archive,,468,Jumpstart
1,Juggernaut,,471,Jumpstart
1,Meteor Golem,,474,Jumpstart
1,Buried Ruin,,491,Jumpstart
1,Prismite,,235,Core Set 2021
2,Island,,263,Core Set 2021
2,Island,,264,Core Set 2021
1,Island,,265,Core Set 2021
1,Island,,49,Jumpstart
