Count,Name,Foil,Card Number,Edition
1,Basri,,4,Jumpstart Front Cards
1,Thriving Heath,,35,Jumpstart
1,Knight of the Tusk,,114,Jumpstart
1,Basri Ket,,7,Core Set 2021
1,Basri's Acolyte,,8,Core Set 2021
1,Basri's Lieutenant,,9,Core Set 2021
1,Basri's Solidarity,,10,Core Set 2021
1,Concordia Pegasus,,12,Core Set 2021
1,Faith's Fetters,,17,Core Set 2021
1,Feat of Resistance,,19,Core Set 2021
1,Legion's Judgment,,24,Core Set 2021
1,Siege Striker,,37,Core Set 2021
1,Staunch Shieldmate,,39,Core Set 2021
1,Tempered Veteran,,41,Core Set 2021
2,Plains,,260,Core Set 2021
2,Plains,,261,Core Set 2021
2,Plains,,262,Core Set 2021
1,Plains,,309,Core Set 2021
