Count,Name,Foil,Card Number,Edition
1,Chandra,,6,Jumpstart Front Cards
1,Thriving Bluff,,33,Jumpstart
1,Fanatical Firebrand,,315,Jumpstart
1,Flames of the Firebrand,,317,Jumpstart
1,Hungry Flames,,336,Jumpstart
1,Pillar of Flame,,355,Jumpstart
1,Pyroclastic Elemental,,356,Jumpstart
1,Young Pyromancer,,372,Jumpstart
1,"Chandra, Heart of Fire",,135,Core Set 2021
1,Chandra's Incinerator,,136,Core Set 2021
2,Chandra's Magmutt,,137,Core Set 2021
1,Chandra's Pyreling,,138,Core Set 2021
1,Thrill of Possibility,,165,Core Set 2021
2,Mountain,,269,Core Set 2021
2,Mountain,,270,Core Set 2021
2,Mountain,,271,Core Set 2021
1,Mountain,,312,Core Set 2021
