Count,Name,Card Number,Edition,Language
1,Dinosaurs,8,Jumpstart Front Cards,English
1,Thriving Grove,34,Jumpstart,English
1,Forest,73,Jumpstart,English
1,Commune with Dinosaurs,384,Jumpstart,English
1,Drover of the Mighty,388,Jumpstart,English
1,New Horizons,414,Jumpstart,English
1,Orazca Frillback,416,Jumpstart,English
1,Rampaging Brontodon,423,Jumpstart,English
1,Savage Stomp,427,Jumpstart,English
1,Colossal Dreadmaw,176,Core Set 2021,English
1,Drowsing Tyrannodon,178,Core Set 2021,English
1,Garruk's Uprising,186,Core Set 2021,English
1,Ornery Dilophosaur,194,Core Set 2021,English
1,Primal Might,197,Core Set 2021,English
1,Thrashing Brontodon,209,Core Set 2021,English
2,Forest,272,Core Set 2021,English
2,Forest,273,Core Set 2021,English
2,Forest,274,Core Set 2021,English
