Count,Name,Foil,Card Number,Edition
1,Discarding,,9,Jumpstart Front Cards
1,"Tinybones, Trinket Thief",,17,Jumpstart
1,Thriving Moor,,37,Jumpstart
1,Assassin's Strike,,200,Jumpstart
1,Burglar Rat,,214,Jumpstart
1,Death's Approach,,222,Jumpstart
1,Entomber Exarch,,227,Jumpstart
1,Fell Specter,,233,Jumpstart
1,Phyrexian Rager,,266,Jumpstart
1,Ravenous Chupacabra,,269,Jumpstart
1,Slate Street Ruffian,,279,Jumpstart
2,Wight of Precinct Six,,287,Jumpstart
1,Mind Rot,,115,Core Set 2021
2,Swamp,,266,Core Set 2021
2,Swamp,,267,Core Set 2021
2,Swamp,,268,Core Set 2021
1,Swamp,,55,Jumpstart
