Count,Name,Foil,Card Number,Edition
1,Dogs,,11,Jumpstart Front Cards
1,Release the Dogs,,4,Jumpstart
1,Supply Runners,,7,Jumpstart
1,Trusty Retriever,,8,Jumpstart
1,Thriving Heath,,35,Jumpstart
1,Affa Guard Hound,,81,Jumpstart
1,Cathar's Companion,,94,Jumpstart
1,Pacifism,,125,Jumpstart
1,Alpine Watchdog,,2,Core Set 2021
1,Feat of Resistance,,19,Core Set 2021
1,Pack Leader,,29,Core Set 2021
1,Rambunctious Mutt,,30,Core Set 2021
1,Secure the Scene,,35,Core Set 2021
1,Selfless Savior,,36,Core Set 2021
2,Plains,,260,Core Set 2021
2,Plains,,261,Core Set 2021
2,Plains,,262,Core Set 2021
1,Plains,,45,Jumpstart
