Count,Name,Foil,Card Number,Edition
1,Dragons,,12,Jumpstart Front Cards
1,Thriving Bluff,,33,Jumpstart
1,Bathe in Dragonfire,,293,Jumpstart
1,Draconic Roar,,308,Jumpstart
1,Dragon Fodder,,309,Jumpstart
1,Dragon Hatchling,,310,Jumpstart
1,Dragonspeaker Shaman,,312,Jumpstart
1,Lightning Shrieker,,345,Jumpstart
1,Rapacious Dragon,,358,Jumpstart
1,Dragonloft Idol,,463,Jumpstart
1,Hellkite Punisher,,151,Core Set 2021
1,Terror of the Peaks,,164,Core Set 2021
1,Thrill of Possibility,,165,Core Set 2021
3,Mountain,,269,Core Set 2021
2,Mountain,,270,Core Set 2021
2,Mountain,,271,Core Set 2021
1,Mountain,,62,Jumpstart
