Count,Name,Foil,Card Number,Edition
1,Enchanted,,14,Jumpstart Front Cards
1,Stone Haven Pilgrim,,6,Jumpstart
1,Trusty Retriever,,8,Jumpstart
1,Thriving Heath,,35,Jumpstart
1,Blessed Spirits,,92,Jumpstart
1,Face of Divinity,,103,Jumpstart
1,Forced Worship,,104,Jumpstart
1,Indomitable Will,,109,Jumpstart
1,Knight of the Tusk,,114,Jumpstart
1,Knightly Valor,,115,Jumpstart
1,Kor Spiritdancer,,116,Jumpstart
1,Anointed Chorister,,4,Core Set 2021
1,Dub,,16,Core Set 2021
1,Faith's Fetters,,17,Core Set 2021
2,Plains,,260,Core Set 2021
2,Plains,,261,Core Set 2021
2,Plains,,262,Core Set 2021
1,Plains,,42,Jumpstart
