Count,Name,Foil,Card Number,Edition
1,Garruk,,16,Jumpstart Front Cards
1,Thriving Grove,,34,Jumpstart
1,Affectionate Indrik,,373,Jumpstart
1,Brushstrider,,381,Jumpstart
1,Hunter's Insight,,402,Jumpstart
1,Orazca Frillback,,416,Jumpstart
1,Rumbling Baloth,,426,Jumpstart
1,Drowsing Tyrannodon,,178,Core Set 2021
1,"Garruk, Unleashed",,183,Core Set 2021
1,Garruk's Gorehorn,,184,Core Set 2021
1,Garruk's Harbinger,,185,Core Set 2021
1,Garruk's Uprising,,186,Core Set 2021
1,Hunter's Edge,,189,Core Set 2021
1,Ranger's Guile,,199,Core Set 2021
2,Forest,,272,Core Set 2021
2,Forest,,273,Core Set 2021
2,Forest,,274,Core Set 2021
1,Forest,,313,Core Set 2021
