Count,Name,Foil,Card Number,Edition
1,Goblins,,17,Jumpstart Front Cards
1,"Muxus, Goblin Grandee",,24,Jumpstart
1,Thriving Bluff,,33,Jumpstart
1,Beetleback Chief,,294,Jumpstart
1,Boggart Brute,,299,Jumpstart
1,Goblin Commando,,325,Jumpstart
1,Goblin Instigator,,327,Jumpstart
1,Goblin Shortcutter,,330,Jumpstart
1,Makeshift Munitions,,348,Jumpstart
1,Ornery Goblin,,353,Jumpstart
1,Outnumber,,354,Jumpstart
1,Battle-Rattle Shaman,,130,Core Set 2021
1,Burn Bright,,134,Core Set 2021
1,Goblin Arsonist,,147,Core Set 2021
2,Mountain,,269,Core Set 2021
2,Mountain,,270,Core Set 2021
2,Mountain,,271,Core Set 2021
1,Mountain,,65,Jumpstart
