Count,Name,Foil,Card Number,Edition
1,Lands,,19,Jumpstart Front Cards
1,Thriving Grove,,34,Jumpstart
1,Awakener Druid,,379,Jumpstart
1,Crushing Canopy,,386,Jumpstart
1,Elemental Uprising,,390,Jumpstart
1,Fa'adiyah Seer,,394,Jumpstart
1,Feral Hydra,,395,Jumpstart
1,Fertilid,,398,Jumpstart
1,Sylvan Ranger,,435,Jumpstart
1,Ulvenwald Hydra,,439,Jumpstart
1,Vastwood Zendikon,,440,Jumpstart
1,Wildheart Invoker,,444,Jumpstart
1,Zendikar's Roil,,448,Jumpstart
1,Cultivate,,177,Core Set 2021
2,Forest,,272,Core Set 2021
2,Forest,,273,Core Set 2021
2,Forest,,274,Core Set 2021
1,Forest,,71,Jumpstart
