Count,Name,Foil,Card Number,Edition
1,Legion,,20,Jumpstart Front Cards
1,Release the Dogs,,4,Jumpstart
1,Thriving Heath,,35,Jumpstart
1,Inspiring Captain,,111,Jumpstart
1,Raise the Alarm,,129,Jumpstart
1,Basri's Solidarity,,10,Core Set 2021
1,Daybreak Charger,,14,Core Set 2021
1,Faith's Fetters,,17,Core Set 2021
1,Glorious Anthem,,21,Core Set 2021
1,Legion's Judgment,,24,Core Set 2021
1,Makeshift Battalion,,26,Core Set 2021
1,Siege Striker,,37,Core Set 2021
1,Staunch Shieldmate,,39,Core Set 2021
1,Valorous Steed,,42,Core Set 2021
2,Plains,,260,Core Set 2021
2,Plains,,261,Core Set 2021
2,Plains,,262,Core Set 2021
1,Plains,,38,Jumpstart
