Count,Name,Foil,Card Number,Edition
1,Lightning,,21,Jumpstart Front Cards
1,Lightning Phoenix,,21,Jumpstart
2,Lightning Visionary,,22,Jumpstart
1,Living Lightning,,23,Jumpstart
1,Lightning-Core Excavator,,32,Jumpstart
1,Thriving Bluff,,33,Jumpstart
1,Homing Lightning,,335,Jumpstart
1,Lightning Axe,,341,Jumpstart
1,Lightning Bolt,,342,Jumpstart
1,Lightning Diadem,,343,Jumpstart
1,Lightning Elemental,,344,Jumpstart
1,Lightning Shrieker,,345,Jumpstart
1,Weaver of Lightning,,371,Jumpstart
2,Mountain,,269,Core Set 2021
2,Mountain,,270,Core Set 2021
2,Mountain,,271,Core Set 2021
1,Mountain,,68,Jumpstart
