Count,Name,Foil,Card Number,Edition
1,Liliana,,22,Jumpstart Front Cards
1,Thriving Moor,,37,Jumpstart
1,Blighted Bat,,205,Jumpstart
1,Cemetery Recruitment,,217,Jumpstart
1,Ghoulraiser,,238,Jumpstart
1,Liliana's Elite,,250,Jumpstart
1,Settle the Score,,276,Jumpstart
1,Wailing Ghoul,,286,Jumpstart
1,Goremand,,101,Core Set 2021
1,"Liliana, Waker of the Dead",,108,Core Set 2021
1,Liliana's Devotee,,109,Core Set 2021
1,Liliana's Standard Bearer,,110,Core Set 2021
1,Liliana's Steward,,111,Core Set 2021
1,Rise Again,,119,Core Set 2021
2,Swamp,,266,Core Set 2021
2,Swamp,,267,Core Set 2021
2,Swamp,,268,Core Set 2021
1,Swamp,,311,Core Set 2021
