Count,Name,Foil,Card Number,Edition
1,Minotaurs,,25,Jumpstart Front Cards
1,Lightning Visionary,,22,Jumpstart
1,"Sethron, Hurloon General",,25,Jumpstart
1,Thriving Bluff,,33,Jumpstart
1,Bloodrage Brawler,,296,Jumpstart
1,Borderland Minotaur,,301,Jumpstart
1,Flurry of Horns,,321,Jumpstart
1,Minotaur Skullcleaver,,349,Jumpstart
1,Minotaur Sureshot,,350,Jumpstart
1,Mugging,,352,Jumpstart
1,Warfire Javelineer,,370,Jumpstart
1,Herald's Horn,,469,Jumpstart
1,Soul Sear,,160,Core Set 2021
1,Sure Strike,,163,Core Set 2021
2,Mountain,,269,Core Set 2021
2,Mountain,,270,Core Set 2021
2,Mountain,,271,Core Set 2021
1,Mountain,,69,Jumpstart
