Count,Name,Foil,Card Number,Edition
1,Phyrexian,,26,Jumpstart Front Cards
1,Thriving Moor,,37,Jumpstart
1,Douse in Gloom,,223,Jumpstart
1,Entomber Exarch,,227,Jumpstart
1,Parasitic Implant,,262,Jumpstart
1,Phyrexian Broodlings,,263,Jumpstart
1,Phyrexian Debaser,,264,Jumpstart
1,Phyrexian Gargantua,,265,Jumpstart
1,Phyrexian Rager,,266,Jumpstart
1,Phyrexian Reclamation,,267,Jumpstart
1,"Sheoldred, Whispering One",,278,Jumpstart
1,Myr Sire,,475,Jumpstart
1,Perilous Myr,,476,Jumpstart
1,Malefic Scythe,,112,Core Set 2021
2,Swamp,,266,Core Set 2021
2,Swamp,,267,Core Set 2021
2,Swamp,,268,Core Set 2021
1,Swamp,,58,Jumpstart
