Count,Name,Foil,Card Number,Edition
1,Pirates,,27,Jumpstart Front Cards
1,Corsair Captain,,11,Jumpstart
1,Thriving Isle,,36,Jumpstart
1,Chart a Course,,142,Jumpstart
1,Curious Obsession,,148,Jumpstart
1,Departed Deckhand,,149,Jumpstart
1,Kitesail Corsair,,155,Jumpstart
1,Prosperous Pirates,,165,Jumpstart
1,Rishadan Airship,,170,Jumpstart
1,Sailor of Means,,172,Jumpstart
1,Spectral Sailor,,178,Jumpstart
1,Pirate's Cutlass,,477,Jumpstart
1,Capture Sphere,,47,Core Set 2021
1,Read the Tides,,62,Core Set 2021
2,Island,,263,Core Set 2021
2,Island,,264,Core Set 2021
2,Island,,265,Core Set 2021
1,Island,,52,Jumpstart
