Count,Name,Foil,Card Number,Edition
1,Predatory,,29,Jumpstart Front Cards
1,Neyith of the Dire Hunt,,30,Jumpstart
1,Thriving Grove,,34,Jumpstart
1,Brindle Shoat,,380,Jumpstart
1,Crushing Canopy,,386,Jumpstart
1,Dawntreader Elk,,387,Jumpstart
1,Irresistible Prey,,406,Jumpstart
1,Somberwald Stag,,431,Jumpstart
1,Sylvan Brushstrider,,434,Jumpstart
1,Time to Feed,,438,Jumpstart
1,Marauder's Axe,,473,Jumpstart
1,Fungal Rebirth,,182,Core Set 2021
1,Sabertooth Mauler,,202,Core Set 2021
1,Trufflesnout,,212,Core Set 2021
2,Forest,,272,Core Set 2021
2,Forest,,273,Core Set 2021
2,Forest,,274,Core Set 2021
1,Forest,,76,Jumpstart
