Count,Name,Foil,Card Number,Edition
1,Rogues,,32,Jumpstart Front Cards
1,Nocturnal Feeder,,16,Jumpstart
1,Thriving Moor,,37,Jumpstart
1,"Gonti, Lord of Luxury",,240,Jumpstart
1,Lawless Broker,,249,Jumpstart
1,Mausoleum Turnkey,,255,Jumpstart
1,Nightshade Stinger,,258,Jumpstart
1,Oona's Blackguard,,261,Jumpstart
1,Stab Wound,,281,Jumpstart
1,Rogue's Gloves,,479,Jumpstart
1,Alchemist's Gift,,87,Core Set 2021
1,Finishing Blow,,99,Core Set 2021
1,Masked Blackguard,,113,Core Set 2021
1,Thieves' Guild Enforcer,,125,Core Set 2021
2,Swamp,,266,Core Set 2021
2,Swamp,,267,Core Set 2021
2,Swamp,,268,Core Set 2021
1,Swamp,,57,Jumpstart
