Count,Name,Foil,Card Number,Edition
1,Seismic,,33,Jumpstart Front Cards
1,Thriving Bluff,,33,Jumpstart
1,Ashmouth Hound,,290,Jumpstart
1,Bloodrock Cyclops,,297,Jumpstart
1,Cinder Elemental,,304,Jumpstart
1,Grim Lavamancer,,331,Jumpstart
1,Magma Jet,,346,Jumpstart
1,Magmaquake,,347,Jumpstart
1,Molten Ravager,,351,Jumpstart
1,Seismic Elemental,,362,Jumpstart
1,Spitting Earth,,364,Jumpstart
1,Volcanic Fallout,,368,Jumpstart
1,Mana Geode,,472,Jumpstart
1,Volcanic Geyser,,171,Core Set 2021
2,Mountain,,269,Core Set 2021
2,Mountain,,270,Core Set 2021
2,Mountain,,271,Core Set 2021
1,Mountain,,64,Jumpstart
