Count,Name,Foil,Card Number,Edition
1,Teferi,,38,Jumpstart Front Cards
1,Thriving Isle,,36,Jumpstart
1,Exclude,,152,Jumpstart
1,Leave in the Dust,,156,Jumpstart
1,Prescient Chimera,,164,Jumpstart
1,Sage's Row Savant,,171,Jumpstart
1,Talrand's Invocation,,182,Jumpstart
1,Opt,,59,Core Set 2021
1,"Teferi, Master of Time",,75,Core Set 2021
1,Teferi's Ageless Insight,,76,Core Set 2021
1,Teferi's Protege,,77,Core Set 2021
1,Teferi's Tutelage,,78,Core Set 2021
1,Tolarian Kraken,,80,Core Set 2021
1,Vodalian Arcanist,,83,Core Set 2021
2,Island,,263,Core Set 2021
2,Island,,264,Core Set 2021
2,Island,,265,Core Set 2021
1,Island,,310,Core Set 2021
