Count,Name,Foil,Card Number,Edition
1,Tree-Hugging,,39,Jumpstart Front Cards
1,Thriving Grove,,34,Jumpstart
1,Aggressive Urge,,374,Jumpstart
1,Ambassador Oak,,375,Jumpstart
1,Crushing Canopy,,386,Jumpstart
1,Explore,,393,Jumpstart
1,Nature's Way,,412,Jumpstart
1,Primordial Sage,,422,Jumpstart
1,Wall of Blossoms,,442,Jumpstart
1,Burlfist Oak,,174,Core Set 2021
1,Gnarled Sage,,187,Core Set 2021
1,Llanowar Visionary,,193,Core Set 2021
1,Snarespinner,,207,Core Set 2021
1,Warden of the Woods,,213,Core Set 2021
2,Forest,,272,Core Set 2021
2,Forest,,273,Core Set 2021
2,Forest,,274,Core Set 2021
1,Forest,,70,Jumpstart
