Count,Name,Card Number,Edition,Language
1,Under the Sea,40,Jumpstart Front Cards,English
1,Thriving Isle,36,Jumpstart,English
1,Island,46,Jumpstart,English
1,Aegis Turtle,138,Jumpstart,English
1,Octoprophet,161,Jumpstart,English
1,Sigiled Starfish,177,Jumpstart,English
1,Voyage's End,189,Jumpstart,English
1,Waterknot,192,Jumpstart,English
1,Wishful Merfolk,197,Jumpstart,English
1,Unstable Obelisk,489,Jumpstart,English
1,Pursued Whale,60,Core Set 2021,English
1,Rousing Read,67,Core Set 2021,English
1,Tolarian Kraken,80,Core Set 2021,English
1,Waker of Waves,84,Core Set 2021,English
3,Island,263,Core Set 2021,English
2,Island,264,Core Set 2021,English
2,Island,265,Core Set 2021,English
