Count,Name,Foil,Card Number,Edition
1,Under the Sea,,40,Jumpstart Front Cards
1,Thriving Isle,,36,Jumpstart
1,Aegis Turtle,,138,Jumpstart
1,Cryptic Serpent,,146,Jumpstart
1,Octoprophet,,161,Jumpstart
1,Sigiled Starfish,,177,Jumpstart
1,Sweep Away,,180,Jumpstart
1,Waterknot,,192,Jumpstart
1,Whelming Wave,,193,Jumpstart
1,Wishful Merfolk,,197,Jumpstart
1,Unstable Obelisk,,489,Jumpstart
1,Pursued Whale,,60,Core Set 2021
1,Waker of Waves,,84,Core Set 2021
3,Island,,263,Core Set 2021
2,Island,,264,Core Set 2021
2,Island,,265,Core Set 2021
1,Island,,46,Jumpstart
