Count,Name,Foil,Card Number,Edition
1,Unicorns,,41,Jumpstart Front Cards
1,Blessed Sanctuary,,1,Jumpstart
1,Brightmare,,2,Jumpstart
1,Emiel the Blessed,,3,Jumpstart
1,Thriving Heath,,35,Jumpstart
1,Cloudshift,,97,Jumpstart
1,Inspired Charge,,110,Jumpstart
1,Inspiring Unicorn,,112,Jumpstart
1,Mesa Unicorn,,122,Jumpstart
1,Ronom Unicorn,,131,Jumpstart
1,Valorous Stance,,136,Jumpstart
1,Daybreak Charger,,14,Core Set 2021
1,Faith's Fetters,,17,Core Set 2021
1,Valorous Steed,,42,Core Set 2021
2,Plains,,260,Core Set 2021
2,Plains,,261,Core Set 2021
2,Plains,,262,Core Set 2021
1,Plains,,41,Jumpstart
