Count,Name,Foil,Card Number,Edition
1,Walls,,43,Jumpstart Front Cards
1,Towering Titan,,31,Jumpstart
1,Thriving Grove,,34,Jumpstart
1,Assault Formation,,378,Jumpstart
1,Carven Caryatid,,382,Jumpstart
1,Crushing Canopy,,386,Jumpstart
1,Grave Bramble,,401,Jumpstart
1,Overgrown Battlement,,417,Jumpstart
1,Wall of Blossoms,,442,Jumpstart
1,Wall of Vines,,443,Jumpstart
1,Gargoyle Sentinel,,465,Jumpstart
1,Roving Keep,,480,Jumpstart
1,Warmonger's Chariot,,490,Jumpstart
1,Portcullis Vine,,195,Core Set 2021
2,Forest,,272,Core Set 2021
2,Forest,,273,Core Set 2021
2,Forest,,274,Core Set 2021
1,Forest,,75,Jumpstart
