Count,Name,Foil,Card Number,Edition
1,Well-Read,,44,Jumpstart Front Cards
1,Thriving Isle,,36,Jumpstart
1,Cloudreader Sphinx,,143,Jumpstart
1,Curiosity,,147,Jumpstart
1,Mystic Archaeologist,,158,Jumpstart
1,Oneirophage,,162,Jumpstart
1,Read the Runes,,167,Jumpstart
1,Runed Servitor,,481,Jumpstart
1,Suspicious Bookcase,,487,Jumpstart
1,Capture Sphere,,47,Core Set 2021
1,Library Larcenist,,55,Core Set 2021
1,Opt,,59,Core Set 2021
1,Tolarian Kraken,,80,Core Set 2021
1,Tome Anima,,81,Core Set 2021
2,Island,,263,Core Set 2021
2,Island,,264,Core Set 2021
2,Island,,265,Core Set 2021
1,Island,,53,Jumpstart
