Count,Name,Foil,Card Number,Edition
1,Witchcraft,,45,Jumpstart Front Cards
1,Witch of the Moors,,18,Jumpstart
1,Thriving Moor,,37,Jumpstart
1,Bake into a Pie,,201,Jumpstart
1,Bloodhunter Bat,,210,Jumpstart
1,Bogbrew Witch,,211,Jumpstart
1,Cauldron Familiar,,216,Jumpstart
2,Festering Newt,,234,Jumpstart
1,Malakir Familiar,,253,Jumpstart
1,Tempting Witch,,283,Jumpstart
1,Bubbling Cauldron,,460,Jumpstart
1,Finishing Blow,,99,Core Set 2021
1,Witch's Cauldron,,129,Core Set 2021
2,Swamp,,266,Core Set 2021
2,Swamp,,267,Core Set 2021
2,Swamp,,268,Core Set 2021
1,Swamp,,59,Jumpstart
