Count,Name,Foil,Card Number,Edition
1,Wizards,,46,Jumpstart Front Cards
1,Thriving Isle,,36,Jumpstart
1,Crookclaw Transmuter,,145,Jumpstart
1,Exclusion Mage,,153,Jumpstart
1,Sage's Row Savant,,171,Jumpstart
1,Sea Gate Oracle,,173,Jumpstart
1,Talrand's Invocation,,182,Jumpstart
1,Winged Words,,196,Jumpstart
1,Wizard's Retort,,198,Jumpstart
1,Riptide Laboratory,,494,Jumpstart
1,Opt,,59,Core Set 2021
1,Read the Tides,,62,Core Set 2021
1,Rookie Mistake,,66,Core Set 2021
1,Shipwreck Dowser,,71,Core Set 2021
1,Vodalian Arcanist,,83,Core Set 2021
2,Island,,263,Core Set 2021
2,Island,,264,Core Set 2021
1,Island,,265,Core Set 2021
1,Island,,47,Jumpstart
