Count,Name,Foil,Card Number,Edition
1,Blaze,,47,Planechase
1,Bogardan Firefiend,,48,Planechase
1,Bogardan Rager,,49,Planechase
1,Browbeat,,50,Planechase
1,Cinder Elemental,,51,Planechase
2,Flamekin Harbinger,,53,Planechase
1,Pyrotechnics,,60,Planechase
1,Relentless Assault,,62,Planechase
2,Rockslide Elemental,,63,Planechase
2,Smokebraider,,66,Planechase
1,Taurean Mauler,,67,Planechase
1,Beast Hunt,,68,Planechase
1,Briarhorn,,69,Planechase
1,Explosive Vegetation,,70,Planechase
1,Fertile Ground,,71,Planechase
1,Fertilid,,72,Planechase
1,Forgotten Ancient,,73,Planechase
1,Ivy Elemental,,74,Planechase
1,Living Hive,,75,Planechase
1,Rampant Growth,,76,Planechase
1,Search for Tomorrow,,77,Planechase
1,Silverglade Elemental,,78,Planechase
1,Tornado Elemental,,79,Planechase
1,Tribal Unity,,80,Planechase
1,Verdant Force,,81,Planechase
1,Branching Bolt,,83,Planechase
1,Fires of Yavimaya,,87,Planechase
1,Hull Breach,,89,Planechase
1,Mage Slayer,,91,Planechase
1,Rumbling Slum,,93,Planechase
1,Savage Twister,,94,Planechase
1,Assault // Battery,,103,Planechase
1,Mask of Memory,,119,Planechase
2,Gruul Turf,,134,Planechase
2,Shivan Oasis,,137,Planechase
2,Terramorphic Expanse,,139,Planechase
3,Mountain,,156,Planechase
2,Mountain,,157,Planechase
2,Mountain,,158,Planechase
2,Mountain,,159,Planechase
3,Forest,,165,Planechase
2,Forest,,166,Planechase
2,Forest,,167,Planechase
2,Forest,,168,Planechase

1,Eloren Wilds,,7,Planechase
1,Feeding Grounds,,9,Planechase
1,The Great Forest,,14,Planechase
1,Immersturm,,17,Planechase
1,Isle of Vesuva,,18,Planechase
1,Llanowar,,22,Planechase
1,Murasa,,25,Planechase
1,Naya,,27,Planechase
1,Turri Island,,38,Planechase
1,Velis Vel,,40,Planechase
