Count,Name,Foil,Card Number,Edition
1,Akroma's Vengeance,,1,Planechase
1,Congregate,,2,Planechase
1,Kor Sanctifiers,,3,Planechase
1,Oblivion Ring,,4,Planechase
1,Orim's Thunder,,5,Planechase
1,Prison Term,,6,Planechase
1,Soul Warden,,7,Planechase
1,Arc Lightning,,46,Planechase
1,Cone of Flame,,52,Planechase
1,Flametongue Kavu,,54,Planechase
1,Furnace of Rath,,55,Planechase
1,Goblin Offensive,,56,Planechase
1,Insurrection,,57,Planechase
1,Keldon Champion,,58,Planechase
1,Menacing Ogre,,59,Planechase
1,Reckless Charge,,61,Planechase
1,Rolling Thunder,,64,Planechase
1,Rorix Bladewing,,65,Planechase
2,Boros Swiftblade,,82,Planechase
1,Bull Cerodon,,84,Planechase
1,Captain's Maneuver,,85,Planechase
1,Cerodon Yearling,,86,Planechase
1,Glory of Warfare,,88,Planechase
2,Lightning Helix,,90,Planechase
1,"Razia, Boros Archangel",,92,Planechase
1,Balefire Liege,,97,Planechase
1,Battlegate Mimic,,98,Planechase
1,Boros Guildmage,,99,Planechase
1,Double Cleave,,100,Planechase
1,Duergar Hedge-Mage,,101,Planechase
1,Hearthfire Hobgoblin,,102,Planechase
1,Order // Chaos,,104,Planechase
1,Boros Signet,,107,Planechase
1,Relic of Progenitus,,124,Planechase
2,Boros Garrison,,131,Planechase
2,"Sunhome, Fortress of the Legion",,138,Planechase
2,Terramorphic Expanse,,139,Planechase
3,Plains,,143,Planechase
2,Plains,,144,Planechase
2,Plains,,145,Planechase
2,Plains,,146,Planechase
3,Mountain,,161,Planechase
2,Mountain,,162,Planechase
2,Mountain,,163,Planechase
2,Mountain,,164,Planechase

1,Academy at Tolaria West,,1,Planechase
1,Agyrem,,3,Planechase
1,Glimmervoid Basin,,12,Planechase
1,Izzet Steam Maze,,19,Planechase
1,Naar Isle,,26,Planechase
1,Otaria,,28,Planechase
1,Shiv,,34,Planechase
1,Skybreen,,35,Planechase
1,Sokenzan,,36,Planechase
1,Stronghold Furnace,,37,Planechase
