Count,Name,Foil,Card Number,Edition
1,Eldrazi // Eldrazi Spawn,,1,Extras: Planechase Anthology
1,Eldrazi // Eldrazi Spawn,,2,Extras: Planechase Anthology
1,Eldrazi // Eldrazi Spawn,,3,Extras: Planechase Anthology
3,Angel // Saproling,,4,Extras: Planechase Anthology
6,Goat // Insect,,5,Extras: Planechase Anthology
2,Germ // Goblin,,6,Extras: Planechase Anthology
1,Saproling // Spider,,7,Extras: Planechase Anthology
4,Hellion // Zombie,,8,Extras: Planechase Anthology
3,Dragon // Saproling,,9,Extras: Planechase Anthology
2,Boar // Goblin,,10,Extras: Planechase Anthology
6,Goblin // Saproling,,11,Extras: Planechase Anthology
1,Beast // Saproling,,12,Extras: Planechase Anthology
2,Ooze // Ooze,,13,Extras: Planechase Anthology
2,Ooze // Plant,,14,Extras: Planechase Anthology
