Count,Name,Foil,Card Number,Edition
1,"Gideon, Martial Paragon",foil,270,Amonkhet
3,Companion of the Trials,,271,Amonkhet
2,Gideon's Resolve,,272,Amonkhet
4,Graceful Cat,,273,Amonkhet
4,Stone Quarry,,274,Amonkhet
1,Devoted Crop-Mate,,10,Amonkhet
1,Glory-Bound Initiate,,16,Amonkhet
3,Gust Walker,,17,Amonkhet
1,Impeccable Timing,,18,Amonkhet
2,Sparring Mummy,,29,Amonkhet
1,Tah-Crop Elite,,31,Amonkhet
3,Ahn-Crop Crasher,,117,Amonkhet
2,Cartouche of Zeal,,124,Amonkhet
2,Electrify,,129,Amonkhet
1,Hazoret's Favor,,137,Amonkhet
2,Hyena Pack,,139,Amonkhet
1,Nef-Crop Entangler,,144,Amonkhet
1,Pathmaker Initiate,,146,Amonkhet
3,Trial of Zeal,,152,Amonkhet
2,Honored Crop-Captain,,200,Amonkhet
4,Plains,,255,Amonkhet
3,Plains,,256,Amonkhet
3,Plains,,257,Amonkhet
4,Mountain,,264,Amonkhet
3,Mountain,,265,Amonkhet
3,Mountain,,266,Amonkhet
