Count,Name,Foil,Card Number,Edition
1,"Liliana, Death Wielder",foil,275,Amonkhet
3,Desiccated Naga,,276,Amonkhet
2,Liliana's Influence,,277,Amonkhet
4,Tattered Mummy,,278,Amonkhet
4,Foul Orchard,,279,Amonkhet
2,Baleful Ammit,,79,Amonkhet
2,Cartouche of Ambition,,83,Amonkhet
2,Dune Beetle,,89,Amonkhet
1,Festering Mummy,,91,Amonkhet
2,Gravedigger,,93,Amonkhet
2,Splendid Agony,,109,Amonkhet
2,Trial of Ambition,,113,Amonkhet
2,Cartouche of Strength,,158,Amonkhet
1,Channeler Initiate,,160,Amonkhet
1,Crocodile of the Crossing,,162,Amonkhet
2,Giant Spider,,166,Amonkhet
1,Gift of Paradise,,167,Amonkhet
2,Decimator Beetle,,197,Amonkhet
1,Edifice of Authority,,226,Amonkhet
1,Luxa River Shrine,,232,Amonkhet
1,Oracle's Vault,,234,Amonkhet
1,Grasping Dunes,,244,Amonkhet
4,Swamp,,261,Amonkhet
4,Swamp,,262,Amonkhet
3,Swamp,,263,Amonkhet
3,Forest,,267,Amonkhet
3,Forest,,268,Amonkhet
3,Forest,,269,Amonkhet
