Count,Name,Foil,Card Number,Edition
1,"Chandra, Bold Pyromancer",foil,275,Dominaria
2,Chandra's Outburst,,276,Dominaria
3,Karplusan Hound,,277,Dominaria
4,Pyromantic Pilgrim,,278,Dominaria
4,Timber Gorge,,279,Dominaria
1,Fiery Intervention,,118,Dominaria
1,Fight with Fire,,119,Dominaria
3,Fire Elemental,,120,Dominaria
1,Ghitu Chronicler,,125,Dominaria
2,Shivan Fire,,142,Dominaria
2,Baloth Gorger,,156,Dominaria
3,Elfhame Druid,,159,Dominaria
1,Gaea's Protector,,162,Dominaria
2,Gift of Growth,,163,Dominaria
1,"Grunn, the Lonely King",,165,Dominaria
1,Krosan Druid,,167,Dominaria
2,Llanowar Elves,,168,Dominaria
1,"Marwyn, the Nurturer",,172,Dominaria
1,Pierce the Sky,,176,Dominaria
1,Primordial Wurm,,177,Dominaria
1,Gilded Lotus,,215,Dominaria
3,Mountain,,262,Dominaria
3,Mountain,,263,Dominaria
3,Mountain,,264,Dominaria
2,Mountain,,265,Dominaria
3,Forest,,266,Dominaria
3,Forest,,267,Dominaria
3,Forest,,268,Dominaria
2,Forest,,269,Dominaria
