Count,Name,Foil,Card Number,Edition
1,"Teferi, Timebender",foil,270,Dominaria
4,Temporal Machinations,,271,Dominaria
2,"Niambi, Faithful Healer",,272,Dominaria
3,Teferi's Sentinel,,273,Dominaria
4,Meandering River,,274,Dominaria
1,Daring Archaeologist,,13,Dominaria
3,Gideon's Reproach,,19,Dominaria
3,Knight of New Benalia,,24,Dominaria
1,Serra Angel,,33,Dominaria
2,Befuddle,,45,Dominaria
1,Divination,,52,Dominaria
2,Relic Runner,,62,Dominaria
1,"Tetsuko Umezawa, Fugitive",,69,Dominaria
1,"Zahid, Djinn of the Lamp",,76,Dominaria
3,Aesthir Glider,,209,Dominaria
2,Jhoira's Familiar,,220,Dominaria
2,Juggernaut,,222,Dominaria
2,Sparring Construct,,232,Dominaria
3,Plains,,250,Dominaria
3,Plains,,251,Dominaria
3,Plains,,252,Dominaria
2,Plains,,253,Dominaria
3,Island,,254,Dominaria
3,Island,,255,Dominaria
3,Island,,256,Dominaria
2,Island,,257,Dominaria
