Count,Name,Foil,Card Number,Edition
1,"Vraska, Regal Gorgon",foil,269,Guilds of Ravnica
4,Kraul Raider,,270,Guilds of Ravnica
3,Attendant of Vraska,,271,Guilds of Ravnica
2,Vraska's Stoneglare,,272,Guilds of Ravnica
2,Bartizan Bats,,62,Guilds of Ravnica
3,Dead Weight,,67,Guilds of Ravnica
1,Douser of Lights,,70,Guilds of Ravnica
1,Lotleth Giant,,74,Guilds of Ravnica
3,Spinal Centipede,,86,Guilds of Ravnica
1,Beast Whisperer,,123,Guilds of Ravnica
1,Bounty of Might,,124,Guilds of Ravnica
1,Devkarin Dissident,,127,Guilds of Ravnica
2,Ironshell Beetle,,134,Guilds of Ravnica
1,Kraul Foragers,,135,Guilds of Ravnica
2,Prey Upon,,143,Guilds of Ravnica
1,Wild Ceratok,,150,Guilds of Ravnica
2,Glowspore Shaman,,173,Guilds of Ravnica
2,Rhizome Lurcher,,196,Guilds of Ravnica
1,Swarm Guildmage,,201,Guilds of Ravnica
2,Golgari Guildgate,,248,Guilds of Ravnica
2,Golgari Guildgate,,249,Guilds of Ravnica
12,Swamp,,262,Guilds of Ravnica
10,Forest,,264,Guilds of Ravnica
