Count,Name,Foil,Card Number,Edition
1,Mu Yanling,foil,1,Global Series: Jiang Yanggu and Mu Yanling
2,Colorful Feiyi Sparrow,,2,Global Series: Jiang Yanggu and Mu Yanling
2,Purple-Crystal Crab,,3,Global Series: Jiang Yanggu and Mu Yanling
2,Vivid Flying Fish,,4,Global Series: Jiang Yanggu and Mu Yanling
2,Welkin Tern,,5,Global Series: Jiang Yanggu and Mu Yanling
2,Heavenly Qilin,,6,Global Series: Jiang Yanggu and Mu Yanling
2,Armored Whirl Turtle,,7,Global Series: Jiang Yanggu and Mu Yanling
2,Nine-Tail White Fox,,8,Global Series: Jiang Yanggu and Mu Yanling
2,Earth-Origin Yak,,9,Global Series: Jiang Yanggu and Mu Yanling
3,Moon-Eating Dog,,10,Global Series: Jiang Yanggu and Mu Yanling
2,Stormcloud Spirit,,11,Global Series: Jiang Yanggu and Mu Yanling
1,Ancestor Dragon,,12,Global Series: Jiang Yanggu and Mu Yanling
1,Cloak of Mists,,13,Global Series: Jiang Yanggu and Mu Yanling
2,Qilin's Blessing,,14,Global Series: Jiang Yanggu and Mu Yanling
2,Drown in Shapelessness,,15,Global Series: Jiang Yanggu and Mu Yanling
3,Dragon's Presence,,16,Global Series: Jiang Yanggu and Mu Yanling
2,Brilliant Plan,,17,Global Series: Jiang Yanggu and Mu Yanling
2,Rhythmic Water Vortex,,18,Global Series: Jiang Yanggu and Mu Yanling
4,Meandering River,,19,Global Series: Jiang Yanggu and Mu Yanling
9,Plains,,20,Global Series: Jiang Yanggu and Mu Yanling
12,Island,,21,Global Series: Jiang Yanggu and Mu Yanling
