Count,Name,Foil,Card Number,Edition
1,"Nicol Bolas, the Deceiver",foil,205,Hour of Devastation
3,Wasp of the Bitter End,,206,Hour of Devastation
4,Zealot of the God-Pharaoh,,207,Hour of Devastation
2,Visage of Bolas,,208,Hour of Devastation
4,Cinder Barrens,,209,Hour of Devastation
2,Aerial Guide,,29,Hour of Devastation
2,Eternal of Harsh Truths,,34,Hour of Devastation
1,Ammit Eternal,,57,Hour of Devastation
3,Khenra Eternal,,66,Hour of Devastation
2,Marauding Boneslasher,,70,Hour of Devastation
2,Burning-Fist Minotaur,,85,Hour of Devastation
2,Manticore Eternal,,103,Hour of Devastation
2,Open Fire,,105,Hour of Devastation
4,Crypt of the Eternals,,169,Hour of Devastation
3,Final Reward,,92,Amonkhet
2,Supernatural Stamina,,111,Amonkhet
2,Magma Spray,,141,Amonkhet
1,Throne of the God-Pharaoh,,237,Amonkhet
3,Island,,192,Hour of Devastation
2,Island,,193,Hour of Devastation
3,Swamp,,194,Hour of Devastation
3,Swamp,,195,Hour of Devastation
4,Mountain,,196,Hour of Devastation
3,Mountain,,197,Hour of Devastation
