Count,Name,Foil,Card Number,Edition
1,"Nissa, Genesis Mage",foil,200,Hour of Devastation
3,Avid Reclaimer,,201,Hour of Devastation
4,Brambleweft Behemoth,,202,Hour of Devastation
2,Nissa's Encouragement,,203,Hour of Devastation
4,Woodland Stream,,204,Hour of Devastation
2,Aerial Guide,,29,Hour of Devastation
2,Aven Reedstalker,,30,Hour of Devastation
3,Unsummon,,54,Hour of Devastation
2,Ambuscade,,110,Hour of Devastation
2,Feral Prowler,,115,Hour of Devastation
2,River Hoopoe,,143,Hour of Devastation
1,Reason // Believe,,154,Hour of Devastation
2,Angler Drake,,41,Amonkhet
3,Pouncing Cheetah,,179,Amonkhet
1,Bounty of the Luxa,,196,Amonkhet
2,Weaver of Currents,,209,Amonkhet
2,Spring // Mind,,219,Amonkhet
4,Island,,192,Hour of Devastation
4,Island,,193,Hour of Devastation
7,Forest,,198,Hour of Devastation
7,Forest,,199,Hour of Devastation
