Count,Name,Foil,Card Number,Edition
1,"Chandra, Pyrogenius",foil,265,Kaladesh
4,Flame Lash,,266,Kaladesh
2,Liberating Combustion,,267,Kaladesh
3,Renegade Firebrand,,268,Kaladesh
4,Stone Quarry,,269,Kaladesh
2,Aerial Responder,,2,Kaladesh
2,Built to Last,,7,Kaladesh
1,Gearshift Ace,,16,Kaladesh
1,Skyswirl Harrier,,28,Kaladesh
2,Trusty Companion,,33,Kaladesh
1,Brazen Scourge,,107,Kaladesh
1,Cathartic Reunion,,109,Kaladesh
1,Fateful Showdown,,114,Kaladesh
1,Speedway Fanatic,,132,Kaladesh
2,Spireside Infiltrator,,133,Kaladesh
2,Veteran Motorist,,188,Kaladesh
1,Bomat Bazaar Barge,,198,Kaladesh
1,Fleetwheel Cruiser,,214,Kaladesh
1,Ovalchase Dragster,,225,Kaladesh
2,Renegade Freighter,,230,Kaladesh
2,Sky Skiff,,233,Kaladesh
1,Snare Thopter,,236,Kaladesh
1,Weldfast Monitor,,238,Kaladesh
4,Plains,,250,Kaladesh
3,Plains,,251,Kaladesh
3,Plains,,252,Kaladesh
4,Mountain,,259,Kaladesh
4,Mountain,,260,Kaladesh
3,Mountain,,261,Kaladesh
