Count,Name,Foil,Card Number,Edition
1,"Nissa, Nature's Artisan",foil,270,Kaladesh
3,Guardian of the Great Conduit,,271,Kaladesh
4,Terrain Elemental,,272,Kaladesh
2,Verdant Crescendo,,273,Kaladesh
4,Woodland Stream,,274,Kaladesh
1,Aethersquall Ancient,,39,Kaladesh
2,Janjeet Sentry,,53,Kaladesh
2,Long-Finned Skywhale,,54,Kaladesh
2,Malfunction,,55,Kaladesh
2,Thriving Turtle,,66,Kaladesh
2,Appetite for the Unnatural,,141,Kaladesh
2,Arborback Stomper,,142,Kaladesh
3,Attune with Aether,,145,Kaladesh
1,Bristling Hydra,,147,Kaladesh
2,Longtusk Cub,,161,Kaladesh
1,Riparian Tiger,,167,Kaladesh
1,Sage of Shaila's Claim,,168,Kaladesh
2,Servant of the Conduit,,169,Kaladesh
2,Thriving Rhino,,171,Kaladesh
2,Empyreal Voyager,,180,Kaladesh
3,Island,,253,Kaladesh
3,Island,,254,Kaladesh
2,Island,,255,Kaladesh
4,Forest,,262,Kaladesh
4,Forest,,263,Kaladesh
3,Forest,,264,Kaladesh
