Count,Name,Foil,Card Number,Edition
1,"Liliana, the Necromancer",foil,291,Core Set 2019
3,Arisen Gorgon,,292,Core Set 2019
1,Gravewaker,,293,Core Set 2019
2,Liliana's Spoils,,294,Core Set 2019
4,Tattered Mummy,,295,Core Set 2019
2,Abnormal Endurance,,85,Core Set 2019
2,Blood Divination,,86,Core Set 2019
1,Demon of Catastrophes,,91,Core Set 2019
2,Diregraf Ghoul,,92,Core Set 2019
1,Gravedigger,,98,Core Set 2019
2,Lich's Caress,,105,Core Set 2019
2,Murder,,110,Core Set 2019
1,Reassembling Skeleton,,116,Core Set 2019
1,Skeleton Archer,,118,Core Set 2019
2,Skymarch Bloodletter,,119,Core Set 2019
1,Sovereign's Bite,,120,Core Set 2019
1,Strangling Spores,,122,Core Set 2019
2,Vampire Sovereign,,125,Core Set 2019
2,Walking Corpse,,126,Core Set 2019
1,Meteor Golem,,241,Core Set 2019
7,Swamp,,269,Core Set 2019
7,Swamp,,270,Core Set 2019
6,Swamp,,271,Core Set 2019
6,Swamp,,272,Core Set 2019
