Count,Name,Foil,Card Number,Edition
1,"Chandra, Flame's Fury",foil,294,Core Set 2020
2,Chandra's Flame Wave,,295,Core Set 2020
3,Pyroclastic Elemental,,296,Core Set 2020
4,Wildfire Elemental,,297,Core Set 2020
1,Shivan Dragon,,335,Core Set 2020
3,Chandra's Outrage,,130,Core Set 2020
4,Chandra's Spitfire,,132,Core Set 2020
1,"Drakuseth, Maw of Flames",,136,Core Set 2020
3,Ember Hauler,,137,Core Set 2020
2,Infuriate,,145,Core Set 2020
4,Pack Mastiff,,152,Core Set 2020
3,Scorch Spitter,,159,Core Set 2020
4,Shock,,160,Core Set 2020
7,Mountain,,273,Core Set 2020
6,Mountain,,274,Core Set 2020
6,Mountain,,275,Core Set 2020
6,Mountain,,276,Core Set 2020
