Count,Name,Foil,Card Number,Edition
1,"Garruk, Savage Herald",foil,336,Core Set 2021
2,Garruk's Warsteed,,337,Core Set 2021
3,Predatory Wurm,,338,Core Set 2021
4,Wildwood Patrol,,339,Core Set 2021
3,Drowsing Tyrannodon,,178,Core Set 2021
1,Garruk's Harbinger,,185,Core Set 2021
2,Garruk's Uprising,,186,Core Set 2021
2,Ornery Dilophosaur,,194,Core Set 2021
3,Pridemalkin,,196,Core Set 2021
1,Primal Might,,197,Core Set 2021
3,Titanic Growth,,210,Core Set 2021
3,Almighty Brushwagg,,143,Ikoria: Lair of Behemoths
2,Ram Through,,170,Ikoria: Lair of Behemoths
2,Ilysian Caryatid,,174,Theros Beyond Death
3,Nessian Hornbeetle,,182,Theros Beyond Death
8,Forest,,272,Core Set 2021
8,Forest,,273,Core Set 2021
8,Forest,,274,Core Set 2021
1,Forest,,313,Core Set 2021
