Count,Name,Foil,Card Number,Edition
1,"Liliana, Death Mage",foil,328,Core Set 2021
2,Liliana's Scorn,,329,Core Set 2021
3,Liliana's Scrounger,,330,Core Set 2021
4,Spirit of Malevolence,,331,Core Set 2021
2,Alchemist's Gift,,87,Core Set 2021
1,Demonic Embrace,,95,Core Set 2021
2,Goremand,,101,Core Set 2021
3,Grasp of Darkness,,102,Core Set 2021
1,Liliana's Standard Bearer,,110,Core Set 2021
4,Masked Blackguard,,113,Core Set 2021
2,Bushmeat Poacher,,77,Ikoria: Lair of Behemoths
3,Durable Coilbug,,85,Ikoria: Lair of Behemoths
2,Lurking Deadeye,,94,Ikoria: Lair of Behemoths
2,Unlikely Aid,,103,Ikoria: Lair of Behemoths
3,Grim Physician,,100,Theros Beyond Death
8,Swamp,,266,Core Set 2021
8,Swamp,,267,Core Set 2021
8,Swamp,,268,Core Set 2021
1,Swamp,,311,Core Set 2021
