Count,Name,Foil,Card Number,Edition
1,"Teferi, Timeless Voyager",foil,324,Core Set 2021
3,Historian of Zhalfir,,325,Core Set 2021
4,Mystic Skyfish,,326,Core Set 2021
2,Teferi's Wavecaster,,327,Core Set 2021
4,Frantic Inventory,,50,Core Set 2021
2,Jeskai Elder,,53,Core Set 2021
3,Opt,,59,Core Set 2021
2,Shipwreck Dowser,,71,Core Set 2021
1,Stormwing Entity,,73,Core Set 2021
1,Teferi's Ageless Insight,,76,Core Set 2021
2,Tome Anima,,81,Core Set 2021
2,Gust of Wind,,54,Ikoria: Lair of Behemoths
1,Stern Dismissal,,68,Theros Beyond Death
2,Charmed Sleep,,40,Throne of Eldraine
3,Faerie Vandal,,45,Throne of Eldraine
2,Mantle of Tides,,52,Throne of Eldraine
8,Island,,263,Core Set 2021
8,Island,,264,Core Set 2021
8,Island,,265,Core Set 2021
1,Island,,310,Core Set 2021
