Count,Name,Foil,Card Number,Edition
1,"Domri, City Smasher",foil,269,Ravnica Allegiance
4,Ragefire,,270,Ravnica Allegiance
3,Charging War Boar,,271,Ravnica Allegiance
2,Domri's Nodorog,,272,Ravnica Allegiance
2,Burn Bright,,93,Ravnica Allegiance
2,Clamor Shaman,,96,Ravnica Allegiance
2,Feral Maaka,,100,Ravnica Allegiance
2,Gravel-Hide Goblin,,105,Ravnica Allegiance
1,Axebane Beast,,121,Ravnica Allegiance
1,End-Raze Forerunners,,124,Ravnica Allegiance
1,Rampaging Rendhorn,,135,Ravnica Allegiance
2,Stony Strength,,143,Ravnica Allegiance
2,Sylvan Brushstrider,,144,Ravnica Allegiance
1,Wrecking Beast,,150,Ravnica Allegiance
1,Bolrac-Clan Crusher,,159,Ravnica Allegiance
3,Frenzied Arynx,,173,Ravnica Allegiance
3,Zhur-Taa Goblin,,215,Ravnica Allegiance
1,Glass of the Guildpact,,233,Ravnica Allegiance
2,Gruul Guildgate,,249,Ravnica Allegiance
2,Gruul Guildgate,,250,Ravnica Allegiance
11,Mountain,,263,Ravnica Allegiance
11,Forest,,264,Ravnica Allegiance
